'序号,'昵称,'视频ID,'视频标题,'发布时间↓,'点赞↓,'评论↓,'分享↓,'商品标题,商品销量,商品价格,'抖音号,'UID,'视频地址,'商品地址,'粉丝福利,'商品来源,'商品id,'音乐id,,音乐链接
'25,'豆豆_Babe,'6805464205777538311,'猪猪们 在家呆着记得要做清洁啊 前两天吃炸鸡又长豆了 ??,'2020-03-18 16:37:13,'636414,'22659,'16401,'御泥坊氨基酸泥浆面膜深层清洁祛粉刺黑头毛孔控油涂抹式泥膜女,'244077,'89.9,'5144228,'53304917615,'http://v27-dy.ixigua.com/d7b6de68c6ddc9df6f93608db99e422c/5f09c9c2/video/tos/hxsy/tos-hxsy-ve-0015/bc500cd7ddaa4a5a97d2c79730678c8c/?a=1128&br=2856&bt=952&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113440100080720121234E924&lr=all&mime_type=video_mp4&qs=0&rc=anR3a3VmaHh2czMzNmkzM0ApNDs5aTMzaTw7NzQ8NjQ7OGdlZWgxcXNlXmxfLS0yLS9zczIvNDIzMF4vNjI1YTAxYzY6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dlgg86oqqXpRw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMbbN8xGgbgy%2BJ1gyddu7kN%2BMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMaCUL0hSCNep3F80%2Fjgg5gP1SarTXhIOTY%2BB6b2yaC%2B4cTNWtqRPez%2F7nyHmkoZi76owt168PKN8dj%2FrcM4fEq5vwKq1YN4qJZmCpj0I5V4Im%2BBUS%2Bsp%2BO0C0Lao9jUAj%2FJczdFpNkVgvqG9L0UO9Lc9kxRRHfUqm&union_lens=lensId:TAPI@1584520640@0b086864_0ed6_170ecca39c7_ccce@01,'https://uland.taobao.com/coupon/edetail?e=mi%2B2iZM7KYIbwa0ArmopK8A6M8%2F5bANaCQXmp38h532fcunf6ySOCibNPqg86C%2BuffAPUV%2BNB009Bcj4ur8lGoeNN1UYCHHuDdBaeqMEX0o8wV4X90h6EABfXUCCID%2FjWbyiexpXgeF%2FhdiKvUQDBhNrXgUBTGo7SEyvAL3v9LKMdcquGi9Qjljhj%2BCmrjkaJ47rYvIjaE1l3B%2F7Kybz5fdl89fUv30FMmnVmWO1H8uMdcquGi9QjlLajOROSSHlX2cXGIg%2BNIBZUe5lI5u4Rw%3D%3D&traceId=0b0b4b2315845206409132664e&union_lens=lensId:TAPI@1584520640@0b086864_0ed6_170ecca39c7_ccce@01,'来自淘宝人气：7984473,'23480436763,'6805460381239085836,,Minnutes《Discover》https://c.y.qq.com/base/fcgi-bin/u?__=6pIHWwv @QQ音乐
'26,'豆豆_Babe,'6802128290652884238,'猪猪们 补水面膜来啦呀,'2020-03-09 16:53:21,'701469,'13937,'5649,'豆豆 韩国VT黄金蜂蜜面膜补水保湿修复提亮紧致金砖面膜6片装,'7724,'69,'5144228,'53304917615,'http://v27-dy.ixigua.com/52e55cef3dcd40a044873ae3879a8b57/5f09c976/video/tos/cn/tos-cn-ve-15/267109294e7d49e88155ec850aaf2403/?a=1128&br=3096&bt=1032&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113440100080720121234E924&lr=all&mime_type=video_mp4&qs=0&rc=M2lleDh0eHYzczMzOWkzM0ApZmc3OjQ2ODwzN2hkZmdoNGdqbzVqXzY0MmdfLS1jLS9zczU1Ml5fMjNeYTYvNmMzYy06Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DR5ItoImK83tw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMdCoBZL4O4hG8sviUM61dt2MSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ughet0RNfwVMMYzmR8EgrgaapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592306032@0b08480f_4121_172bcd5e0f6_e112@01,','来自淘宝人气：365348,'613217830201,'6802124390860933895,,Lenka《Lucky》https://c.y.qq.com/base/fcgi-bin/u?__=TXTqWwJ @QQ音乐
'27,'豆豆_Babe,'6799896304311946509,'今天的底妆真的好好看呀 猪猪们一定要学会啊,'2020-03-03 16:32:55,'161264,'10181,'3305,'豆豆 纽西之谜隔离霜妆前乳打底提亮肤色遮瑕隐形毛孔补水新版50g,'5150,'99,'5144228,'53304917615,'http://v27-dy.ixigua.com/29d6d74328701304579cc9c1e44879fe/5f09c99a/video/tos/cn/tos-cn-ve-15/c391bf090f904a2ba3abc94e241c335d/?a=1128&br=2415&bt=805&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113440100080720121234E924&lr=all&mime_type=video_mp4&qs=0&rc=M2dzaHN0PG40czMzNGkzM0ApNjxnOGdoZGRnNzk0NDdnaGcuM2k0MmVgLmNfLS0zLS9zczNgYGEwX2MxYC8tYy9eNV86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dst5R6FdwyQFw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMdHlCOnjos8Wxq3IhSJN6GSMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ui2qow%2FR4Z42wTEKkP2ELR2apHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305504@0b0fa5cd_51ae_172bccdd15d_a594@01,','来自淘宝人气：186241,'611573038608,'6799876446920739596,,Humbert Humbert (ハンバート ハンバート)《しろつめくさ (白诘草)》https://c.y.qq.com/base/fcgi-bin/u?__=MVDqWwu @QQ音乐
'28,'豆豆_Babe,'6798776026483772680,'猪猪们 你们的救星来啦 记得收藏哦,'2020-02-29 16:03:59,'131117,'7768,'4586,'豆豆 日本Cocochi AG抗糖修护精华霜保湿补水抗老紧致精华面霜,'502,'198,'5144228,'53304917615,'http://v26-dy.ixigua.com/7588a000f3259df6e45ea22f70814080/5f09c993/video/tos/cn/tos-cn-ve-15/bac5e1a6b6cc4012be052b127ce57264/?a=1128&br=2787&bt=929&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134701001206015613342304&lr=all&mime_type=video_mp4&qs=0&rc=M2h0ODtsNHA0czMzaWkzM0ApaDdpMztkNTs4Nzs0OjpmZ2dxbXNpaGoyaGFfLS0tLS9zczIuYzU0NmIzXi9fMDEyYzM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DIdlpBtDeSXRw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMaZrHOQNPneBlovu%2FCElQOuMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ujS%2FEnxZvCeKlorRRiOxs0XapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305098@0b588f47_b608_172bcc79d11_b2f7@01,','来自淘宝人气：96944,'612388335054,'6798740572079016717,,"Shelly Fraley《Hi, Hi, Hi》https://c.y.qq.com/base/fcgi-bin/u?__=okUqWww @QQ音乐"
'29,'豆豆_Babe,'6798441029600054541,'我的猪猪们 我又来啦 这期学生党要收藏哦 #口红,'2020-02-28 18:24:01,'646096,'20209,'23500,'豆豆 moonseem极地之悦唇乳乳木果液体润唇膏保湿滋润打底防干裂,'4403,'49,'5144228,'53304917615,'http://v26-dy.ixigua.com/a4cc541f37ed02f86a851aac06574b08/5f09c9d1/video/tos/cn/tos-cn-ve-15/fb8f2bbff199422b8b44217eb14eadcc/?a=1128&br=2688&bt=896&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134701001206015613342304&lr=all&mime_type=video_mp4&qs=0&rc=am9nZGY1ZnBoczMzNGkzM0ApZDtnZGg4OmU2NzdnNztnZ2cuMWpfMG1vNWBfLS01LS9zczEtNTIuYjUzNC1hX2EtLjI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DApor30gy9K9w4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMbNVkU2Vp%2B%2F81aH1Hk3GeOiMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKgAFt12sULIEB%2BX6Aik4T6mapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305766@0b8476ab_1dc3_172bcd1d0ec_b2b9@01,','来自淘宝人气：325890,'606605102585,'6798399216772205323,,CIKI《BOKE》https://c.y.qq.com/base/fcgi-bin/u?__=AMeUWwI @QQ音乐
'30,'豆豆_Babe,'6797747523378334989,'你们催了很久的美白篇来啦 猪猪们 快安排起来呀,'2020-02-26 21:32:39,'553525,'22897,'6530,'【仅限今日】娇韵诗光芒小瓷瓶美白淡斑面部精华液提亮肤色,'3618,'720,'5144228,'53304917615,'http://v26-dy.ixigua.com/c6b2756bb92398db2783728c7311a394/5f09c97f/video/tos/cn/tos-cn-ve-15/852081e7c5dc4006b5de684c8a66b0b2/?a=1128&br=2526&bt=842&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134701001206015613342304&lr=all&mime_type=video_mp4&qs=0&rc=anJtPGw7O2Y6czMzaWkzM0ApNWdkaDg2ZDxoNzNnOzpkN2cxc3NiaTI1Ll9fLS02LS9zc2EtYGAuYjMtMy1gXy8yYC86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DZoKEJFbN2pZw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMchaVsGxHEajJ1gyddu7kN%2BMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrM2ict0uvGd9IEBZVDp696zgtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uhR3kjoY7QpZIXktkPnAUqhapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:0b57b768_0ccc_17081b30d5e_6559&xId=3Fr8A3hqmEzphcTb6DzkpK9vbjO2q58Uk2gSKwyMJkCHnujs1YXyF0z4AX6r3cBBHefku95kCARIEsm9jQ48o6&union_lens=lensId:MAPI@1582723960@0b0815c9_0de0_17081b30d61_6340@01,','来自淘宝人气：224521,'611490486637,'6797616685705972493,,The Spring Standards《Queen of the Lot》https://c.y.qq.com/base/fcgi-bin/u?__=pcTUWwy @QQ音乐
'31,'豆豆_Babe,'6796544759000288525,'猪猪们 少吃点瓜子 千万不要学我长大包,'2020-02-23 15:45:32,'306176,'10130,'10738,'豆豆 韩国DR.MIND达克蔓神木水急救修复收缩毛孔保湿补水红水,'3506,'99,'5144228,'53304917615,'http://v26-dy.ixigua.com/ee1fa2b3051afed85940d4e9175b860a/5f09c98d/video/tos/cn/tos-cn-ve-15/51807a09f02b47c69f56de09ebdadc66/?a=1128&br=2775&bt=925&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134701001206015613342304&lr=all&mime_type=video_mp4&qs=0&rc=ajx2azV3ZHI1czMzaGkzM0ApNWQ5ZzQ1Z2U6NzZlZ2U7NWdyL2FmamVxYjZfLS0vLS9zczYyYy00LzFhYjA0M2JiLi86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DUpmNQz2dnLxw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMa8BfxwqSe8vMMgx22UI05aMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uib%2FBDxfa4fTe93NfNoOpmrapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592306538@0b086c54_6350_172bcdd99be_2a04@01,','来自淘宝人气：103661,'611498501312,'6796514170712935171,,Ellem《Tape and Glue》https://c.y.qq.com/base/fcgi-bin/u?__=2qKUWwq @QQ音乐
'32,'豆豆_Babe,'6793602746009341192,'猪猪们 快快把头发养好 我们一起去洗剪吹,'2020-02-15 17:29:05,'162263,'7135,'2027,'Herbalessences植感哲学氨基酸洗护洗发水400ml/护发素180,'2783,'68.9,'5144228,'53304917615,'http://v26-dy.ixigua.com/d8cfe873c022680a7a626beafd526baf/5f09c993/video/tos/cn/tos-cn-ve-15/d7432de9093b43a4a3e839111da2436d/?a=1128&br=3189&bt=1063&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134701001206015613342304&lr=all&mime_type=video_mp4&qs=0&rc=andrc3VsZzx1czMzPGkzM0ApN2czaTY8NWU3N2g3OmdnNWdoYW5qMGltMzBfLS1eLS9zcy40YzY0YDQ2Ni00NWIuYWA6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DMRrDj0eQxh1w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMcoutk4zYnVw1aH1Hk3GeOiMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMXKbGNE%2FudIY3kfMetKVN2s0Q9fK1X0AuhLjO8JFSuq5qGmoLahT%2BZz%2BFa8QW0pMbTc7jC1Dcr3Rcfm37xb4PJeNHaUjmC2AUW%2FPAFp7rHR4cTNWtqRPezzPihM1enhJMVFzNXDvVTOYkiM0JmU9fSiw80rK60cUhUlAFN0hF0QfGDmntuH4VtA%3D%3D&union_lens=lensId:0b0ae8da_0bc8_170482e1da5_2281&xId=CFuvhLGXNOWvQcnnQOd3fSI5x0f6GA0l9mNQ2r3eKHVpjmRZsQ9o3U7b8sJUaFnEXCcMzKCpwLLoMi5wogPb3F&union_lens=lensId:0b0b3631_0e08_170482e1da6_1aa0,','来自淘宝人气：358378,'609705624019,'6793593901711100684,,手嶌葵 (てしま あおい)《Bibbidi Bobbidi Boo》https://c.y.qq.com/base/fcgi-bin/u?__=kT7UWwm @QQ音乐
'33,'豆豆_Babe,'6781352874824715527,'有多少猪猪是精致的 快举手我看看  #海草计划,'2020-01-13 17:13:12,'462274,'5855,'14287,'豆豆 roopy润培护手霜女秋冬季滋润保湿补水防干裂便携小巧,'8453,'29.9,'5144228,'53304917615,'http://v27-dy.ixigua.com/983ba5f56267d001904536108cfd788c/5f09c988/video/tos/cn/tos-cn-ve-15/a0464a6d17454990baf7d7094785f99e/?a=1128&br=3462&bt=1154&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=M3JwODtsNDY2cjMzPGkzM0ApZWczNmRlOmU2NzNkZzVlO2dwaC1qaGoyMWJfLS1iLS9zczUzNWFgMDE0MV81YTI1LTU6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DZenpJ7t5mNNw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMThQr73wTmz8J1gyddu7kN%2BMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKjfNqDZCpci8Hv3ASbp%2Fp9yapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592306480@0b1b1f91_35e4_172bcdcb433_d9db@01,','来自淘宝人气：394011,'609015887402,'6781320428288805645,,Deep East Music《The Dollhouse Dance》https://c.y.qq.com/base/fcgi-bin/u?__=H012WwF @QQ音乐
'34,'豆豆_Babe,'6779500704831671566,'猪猪们 年前最后一波宝藏啦 快拿走吧 #海草计划,'2020-01-08 17:25:45,'338866,'4982,'6806,'豆豆 日本Loomen纳米级万毛牙刷软毛细毛360度清洁口腔情侣款,'1873,'14.9,'5144228,'53304917615,'http://v27-dy.ixigua.com/7b7d8e91e791277ab694b3876e472c5d/5f09c98d/video/tos/cn/tos-cn-ve-15/01035cf4e6ed43588f3e03f0b4940c19/?a=1128&br=3489&bt=1163&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=MzZxbWVkd2ZzcjMzZmkzM0ApaThmO2Q4OmRoNzlpZ2czOWctbDVgZTVycF5fLS1iLS9zc2EwMF9eNTQuM2FeLTY0MF46Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DZTIgz6AP6BNw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMd6LvzApqLBwMMgx22UI05aMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uhSZpNm6aXS3O93NfNoOpmrapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:0b57bdf0_0c90_16f89c41a74_ce4f&xId=9EFlgboWxeLTEc4ymtQ4fyLrNo0EoKqeZFMJHfKoCAmAJJhOdPB9aNgbtPR36z8JIHDdxJnQKoptTaMXUOlWCG&union_lens=lensId:0b0b68eb_0d01_16f89c41a73_2b17,','来自淘宝人气：69644,'610462689212,'6779488749731547917,,Foxtail-Grass Studio《氷だらけのアイスコーヒー (全是冰的冰咖啡)》https://c.y.qq.com/base/fcgi-bin/u?__=K0E2Wwk @QQ音乐
'35,'豆豆_Babe,'6779145299534400781,'猪猪们 快拿走回家美美的过年吧 #海草计划,'2020-01-07 18:27:30,'364956,'6468,'6453,'豆豆 Flortte花洛莉亚四色眼影大地配色金葱闪片神仙配色日常方便,'882,'45,'5144228,'53304917615,'http://v27-dy.ixigua.com/795f7c7adad6bb0495598d1c993a7698/5f09c991/video/tos/hxsy/tos-hxsy-ve-0015/5dc5962b66a34b708c48a4145f7733b0/?a=1128&br=4929&bt=1643&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=ajtyM2VpZm84cjMzZWkzM0ApNmlmZWdpNGQ6N2c3NzQ8OGcyaS5pMGRla15fLS0zLS9zc19fXi40Yy0yMDJiMDJjMzU6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DG0eZxWQuZlJw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMULRug1mXPw0t4hWD5k2kjOMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ujcaGBL2u8T7%2B5WcPUKw5%2FPapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305963@0b14dca0_1fa5_172bcd4d07c_d2c2@01,','来自淘宝人气：237936,'610929415107,'6779131903212587787,,Kimmi Smiles/Jake Broido《The Lazy Song》https://c.y.qq.com/base/fcgi-bin/u?__=jOu2Wwv @QQ音乐
'36,'豆豆_Babe,'6777658559929928974,'这次也真是费心了 眼线画法猪猪们一定要学会哟 #海草计划,'2020-01-03 18:18:00,'321651,'7581,'14191,'小奥汀眼线液笔 彩色防水不晕染持久棕色胶笔极细新手初学者奥丁,'295681,'69,'5144228,'53304917615,'http://v27-dy.ixigua.com/3cebcdb64430eb8311899739d2ce302f/5f09c97c/video/tos/cn/tos-cn-ve-15/2a56f8567fb9490099c6868628b54889/?a=1128&br=2973&bt=991&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=ampxbHY3dHJrcjMzZWkzM0ApZTdkNGU8ZWU6NzQ8Ojk2OWc0YzJmcHBgLzRfLS0zLS9zczBeNjM2Nl5eL2AuNDNgYzU6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DLmrMObsQEGNw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMWRqe1Pb%2FL5ERitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMlZJzdBur2T90BhTi5afsbwtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKhdRMZl2Qb2hx6vLnNQmfvxapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:0b57b768_7d12_16f6ae970fa_4acf&xId=pkMLHEvjlaJR7Kp0SWb03Cwp6zwp79MWpk88H4mwvrmXswIBF9yNPjcAGrDt2HyXkaZ8yewWi0SXFr9JVNa9z3&union_lens=lensId:0b093a51_d617_16f6ae970fe_deeb,'https://uland.taobao.com/coupon/edetail?e=rnsWUaEYgOoE%2BdAb1JoOOlXvYXE87gANEs59R7q0w6u9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKahpfrAsjO7ZT3AjxFztbMnIA%3D%3D&traceId=0b15529415780466812873639e&union_lens=lensId:0b57b768_7d12_16f6ae970fa_4acf&xId=pkMLHEvjlaJR7Kp0SWb03Cwp6zwp79MWpk88H4mwvrmXswIBF9yNPjcAGrDt2HyXkaZ8yewWi0SXFr9JVNa9z3&union_lens=lensId:0b093a51_d617_16f6ae970fe_deeb,'来自淘宝人气：5547051,'605696975243,'6777648320565840643,,Stories《When You Left Me 02》https://c.y.qq.com/base/fcgi-bin/u?__=FIG2WwK @QQ音乐
'37,'豆豆_Babe,'6772823973983046919,'猪们 进阶精致女孩的第一步来啦 #海草计划,'2019-12-21 17:37:21,'177224,'3119,'2318,'豆豆 海肌兰女性内衣裤清洗液去污渍留香不伤手550ml,'6044,'35,'5144228,'53304917615,'http://v27-dy.ixigua.com/acdb45eb48080035f001496414db5747/5f09c96f/video/tos/cn/tos-cn-ve-15/b208bc1a235b4d6981ed0a0b0f0891af/?a=1128&br=2646&bt=882&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=ajxnNXV4OzN4cTMzN2kzM0ApZjpoNDg6Zjs4N2g5O2k8OGdeLS8uaC5wYnJfLS1fLS9zcy1gNmNjMTRfLTReNmAtLjA6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DR0Rg%2Flv0swJw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMZJYMgcFc%2Fht79%2FTFaMDK6SMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKgt0BW0YG5rfJKcczQT3qtsapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:0b014932_0c57_16f89cb25d8_3ef9&xId=dBTdwzNATubKrWLgkZXQ4D4hTyC6cOpVpkMepj90EgPBFaIRZ0WqZ5rlLLwHxBJbGgSyxIvaDpIzmxwcSWen1n&union_lens=lensId:0b093a51_0d16_16f89cb25db_db5e,','来自淘宝人气：164726,'609588535198,'6772781533485976328,,松田彬人 (まつだ あきと)《恋のエチュード》https://c.y.qq.com/base/fcgi-bin/u?__=qLB2Ww6 @QQ音乐
'38,'豆豆_Babe,'6770971165100969224,'猪猪们 冬天可得注意好保暖啊 #抖音上买的好东西 #海草计划,'2019-12-16 17:46:18,'177081,'4409,'3513,'【小林制药】暖宝宝贴女宫寒贴暖身贴自发热保暖贴30片即贴礼盒,'4064,'72,'5144228,'53304917615,'http://v27-dy.ixigua.com/5745b6601d84e00befabe23f35fccbff/5f09c958/video/tos/cn/tos-cn-ve-15/f116a973ea914987827c3dd37b76c660/?a=1128&br=3636&bt=1212&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113500100140470880B345051&lr=all&mime_type=video_mp4&qs=0&rc=amxncm88ZnBvcTMzZmkzM0ApaTw3ZzVnNTtnNzpkNWU0O2dsZG5rZ2hfMW9fLS1eLTBzc15eYF5jLl4vMWBiY18yYi46Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DsPiwi8jjUb1w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMVA55LXc%2BzwZ79%2FTFaMDK6SMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMNhQ8wCyi5j4Wum1SWVaQvYwe6%2FtGg2%2FRa39LVkuyq7fYR16Frqer%2F9kYvQZuIwx3O%2F1VprwkqA9u%2FZzIxAtQGtMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4Iqgd%2Fd56SoJntGrXyZlWfJcPOus3jfRiCEcI&union_lens=lensId:0b015dd6_6924_16f0e19f590_946f&xId=cFpC6SWnNygaOXF7U3RpyxxXtIZRAxI1xJFxqln2gbo4vdgaXNsbuCeA5xdkljDTyHxqXEIt7yTPfW6pOiWXPZ&union_lens=lensId:0bb39b78_5cbc_16f0e19f591_8559,','来自淘宝人气：73340,'12410298635,'6770915735943285517,,Deep East Music《Bygone Bumps》https://c.y.qq.com/base/fcgi-bin/u?__=hG62WwT @QQ音乐
