,Unnamed: 0,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time,美妆类,服装类,电器数码类,文具玩具图书类,食品类,鞋靴箱包饰品类,其他,医药保健类,家装日用类,filename
1729,1729,快乐无极限 - 杨紫,123.046875,hiphop,,,,happy,1,0,0,"[19, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[18, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 2, 'attitude': 5}]","[17, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 2, 'attitude': 5}]","[20, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[19, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[19, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[17, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 5, 'genre': 1, 'attitude': 5}]","[19, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[20, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]",凤凰传奇 - 快乐无极限
1730,1730,怎么做怎么过怎么活 (DJ弹鼓版) - 蒋先生,129.1992188,Dance,国语,2020/5/18,positive,happy,1,0,0,"[13, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",怎么做怎么过怎么活 (DJ弹鼓版)
1731,1731,Horizon - Janji,129.1992188,Electronica,纯音乐,2014/11/26,positive,sad,1,0,0,"[17, {'language': 4, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 2, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[16, {'language': 4, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",Horizon
1732,1732,Horizon - Janji,129.1992188,Electronica,纯音乐,2014/11/26,positive,sad,1,0,0,"[17, {'language': 4, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 2, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[16, {'language': 4, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",Horizon
1733,1733,Horizon - Janji,129.1992188,Electronica,纯音乐,2014/11/26,positive,sad,1,0,0,"[17, {'language': 4, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 3, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 2, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 2, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[16, {'language': 4, 'emotion': 2, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",Horizon
1734,1734,中国新说唱EP01 RAP01 (Live) - 周汤豪,112.3471467,Rap/HipHop,国语,2018/7/14,positive,happy,1,0,0,"[13, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[12, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",周汤豪 - 中国新说唱EP01 RAP01 (Live)
1735,1735,"Astronomia (Santti, Dan K Remix) - Tony Igy",123.046875,hiphop,,,,mad,1,0,0,"[20, {'language': 2, 'emotion': 2, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[21, {'language': 2, 'emotion': 4, 'bpm': 1, 'public_time': 5, 'genre': 2, 'attitude': 5}]","[19, {'language': 1, 'emotion': 3, 'bpm': 1, 'public_time': 5, 'genre': 2, 'attitude': 5}]","[22, {'language': 2, 'emotion': 3, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[20, {'language': 2, 'emotion': 2, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[21, {'language': 2, 'emotion': 3, 'bpm': 1, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[20, {'language': 2, 'emotion': 4, 'bpm': 1, 'public_time': 5, 'genre': 1, 'attitude': 5}]","[22, {'language': 1, 'emotion': 4, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]","[22, {'language': 2, 'emotion': 3, 'bpm': 2, 'public_time': 5, 'genre': 3, 'attitude': 5}]","Astronomia (Santti, Dan K Remix)"
1736,1736,いつも何度でも (永远同在) - 伊藤サチコ,117.4538352,Pop,日语,2011/8/3,positive,peaceful,1,0,0,"[13, {'language': 6, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[13, {'language': 6, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[13, {'language': 5, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[15, {'language': 6, 'emotion': 4, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[14, {'language': 6, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[13, {'language': 5, 'emotion': 4, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[13, {'language': 5, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[15, {'language': 6, 'emotion': 3, 'bpm': 2, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[14, {'language': 5, 'emotion': 4, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]",吱吱吱小吱 - 《千与千寻》Always With Me(いつも何度でも 、永远同在) (Cover#久石譲)
1737,1737,三寸天堂 - 严艺丹,143.5546875,Pop,国语,2012/12/18,negative,peaceful,1,0,0,"[13, {'language': 3, 'emotion': 3, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[11, {'language': 1, 'emotion': 3, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[13, {'language': 2, 'emotion': 4, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[12, {'language': 1, 'emotion': 4, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[12, {'language': 1, 'emotion': 4, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[12, {'language': 1, 'emotion': 4, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[11, {'language': 1, 'emotion': 3, 'bpm': 2, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[12, {'language': 3, 'emotion': 3, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[12, {'language': 1, 'emotion': 4, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]",严艺丹 - 三寸天堂
1738,1738,旧梦一场 (舞曲版) - 敏少,129.1992188,hiphop,纯音乐,2020/6/2,positive,happy,1,0,0,"[11, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[9, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[9, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[11, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[10, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[10, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[8, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]",旧梦一场(改编DJ) (改编版原唱_ 阿悠悠)
1739,1739,旧梦一场 (舞曲版) - 敏少,129.1992188,hiphop,纯音乐,2020/6/2,positive,happy,1,0,0,"[11, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[9, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[9, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[11, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[10, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[10, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[8, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 3, 'attitude': 1}]",旧梦一场(改编DJ) (改编版原唱_ 阿悠悠)
1740,1740,Saint Sophia. Mosaics. Deesis - Sara Anderson,103.359375,blues,其他,2012/4/12,,happy,1,0,0,"[17, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 5}]","[16, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 4, 'attitude': 5}]","[16, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 5}]","[16, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 5}]","[19, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 7, 'attitude': 5}]","[17, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 5}]","[17, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 4, 'attitude': 5}]","[16, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 4, 'attitude': 5}]","[15, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 4, 'attitude': 5}]",Sara Anderson - Saint Sophia. Mosaics. Deesis
1741,1741,ᥓᥣᥭᥰ ᥟᥣᥢ ᥐᥧᥭᥱ (片段) - July Tun,69.83741554,country,,,,sad,1,0,0,"[27, {'language': 2, 'emotion': 4, 'bpm': 2, 'public_time': 5, 'genre': 7, 'attitude': 5}]","[23, {'language': 2, 'emotion': 2, 'bpm': 2, 'public_time': 5, 'genre': 5, 'attitude': 5}]","[24, {'language': 1, 'emotion': 2, 'bpm': 2, 'public_time': 5, 'genre': 7, 'attitude': 5}]","[24, {'language': 2, 'emotion': 2, 'bpm': 1, 'public_time': 5, 'genre': 7, 'attitude': 5}]","[24, {'language': 2, 'emotion': 3, 'bpm': 2, 'public_time': 5, 'genre': 5, 'attitude': 5}]","[22, {'language': 2, 'emotion': 2, 'bpm': 2, 'public_time': 5, 'genre': 4, 'attitude': 5}]","[25, {'language': 2, 'emotion': 2, 'bpm': 3, 'public_time': 5, 'genre': 6, 'attitude': 5}]","[25, {'language': 1, 'emotion': 2, 'bpm': 3, 'public_time': 5, 'genre': 7, 'attitude': 5}]","[22, {'language': 2, 'emotion': 2, 'bpm': 1, 'public_time': 5, 'genre': 5, 'attitude': 5}]",July Tun - ᥓᥣᥭᥰ ᥟᥣᥢ ᥐᥧᥭᥱ (片段)
