,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
467,467,2.2w,356,458,Hedone修容盘,,REBORN,,,,happy,REBORN (セリver.)
468,468,157,1,36,Hedone修容盘,,Life Is Good (Explicit),,,,peaceful,Life Is Good (Explicit)
469,469,1500,38,154,Hedone修容盘,,最后的圣诞节piano.ver,其他,,2016-12-25,happy,最后的圣诞节piano.ver
470,470,5374,73,353,Hedone修容盘,,"Expression, When Nostalgia Came",英语,Pop,2017-11-17,sad,"Expression, When Nostalgia Came"
471,471,1915,10,83,Hedone修容盘,,금요병 (周五病),韩语,Alternative,2017-07-17,sad,금요병 (周五病)
472,472,3.9w,985,2480,Hedone修容盘,,处处吻 (女生版),粤语,Pop,2004-12-01,sad,东西 (女生版)
473,473,5.5w,2679,1783,Hedone修容盘,,Location,英语,R&B,2017-03-03,happy,Location
474,474,39.3w,3634,1.5w,完美日记金色散粉,,桃花笑 (cover: 汪睿),,,,happy,桃花笑 (cover_ 汪睿)
475,475,8.7w,959,4676,完美日记金色散粉,,Red Light Green Light,英语,Dance,2019-12-06,mad,Duke Dumont - Red Light Green Light(feat. Shaun Ross)
476,476,9060,16,123,完美日记金色散粉,,Curly Wurly,纯音乐,Soundtrack,2012-10-01,happy,Curly Wurly
477,477,2912,58,174,完美日记金色散粉,,The Party Troll,纯音乐,Dance,2013-02-20,mad,The Party Troll
478,478,1541,22,94,完美日记金色散粉,,Air Balloon,英语,Pop,2014-05-02,peaceful,Fallout 4 Main Theme
479,479,2.2w,729,1106,完美日记金色散粉,,小精灵 (原唱: TFBOYS),国语,Pop,2017-12-15,happy,爱出发 (原唱_ TFBOYS)
480,480,2772,74,569,兰蔻持妆粉底液,,Sucker for You,英语,Pop,2017-10-13,mad,Sucker for You
481,481,32.5w,3574,1.2w,兰蔻持妆粉底液,,Everybody,,,,sad,Ingrid Michaelson - Everybody
482,482,3925,13,161,兰蔻持妆粉底液,,woo!,国语,Pop,2020-06-26,happy,Bibbidi Bobbidi Boo
483,483,4001,83,545,兰蔻持妆粉底液,,EA7小曲挺有劲 (Remix),其他,Pop,2018-03-09,happy,EA7小曲挺有劲 (Remix)
484,484,70,10,28,兰蔻持妆粉底液,,馬鹿ふたり (两个笨蛋),纯音乐,Soundtrack,2005-01-28,mad,馬鹿ふたり (两个笨蛋)
485,485,5049,183,212,兰蔻持妆粉底液,,皇上，谁傲娇？,国语,Pop,2016-08-12,happy,皇上，谁傲娇？
486,486,1255,6,44,兰蔻持妆粉底液,,Dreams,英语,Pop,2020-07-24,happy,Dreams
487,487,3770,32,296,兰蔻持妆粉底液,,I Can,英语,Rap/HipHop,2020-07-22,happy,I Can
488,488,1.8w,678,502,兰蔻持妆粉底液,,Could You?,其他,Alternative,2012-04-17,peaceful,Could You (Demo)
489,489,3.5w,115,166,兰蔻持妆粉底液,,Sun In Our Eyes,英语,Pop,2018-07-14,mad,Sun In Our Eyes
490,490,8.3w,20,161,兰蔻持妆粉底液,,微微,国语,Pop,2020-03-20,peaceful,微微
491,491,936,50,251,兰蔻持妆粉底液,,いっしょに帰ろう (一起回去吧),日语,Soundtrack,2014-05-28,happy,いっしょに帰ろう (一起回去吧)
492,492,5.0w,376,107,兰蔻持妆粉底液,,I'm Callin',英语,Alternative,2015-02-02,happy,Tennis - I'm Callin'
493,493,15.4w,477,2273,兰蔻持妆粉底液,,别再问我什么是迪斯科（翻自 新裤子）,国语,,2020-04-12,mad,别再问我什么是迪斯科（翻自 新裤子）
494,494,576,84,25,兰蔻持妆粉底液,,7895,,,,happy,7895
495,495,79,1,13,兰蔻持妆粉底液,,小朋友她现在不想谈恋爱 (Live),,,,happy,小朋友她现在不想谈恋爱 (Live)
496,496,1869,9,37,兰蔻持妆粉底液,,Heaven's Postcard (Rev. 21:1-5) [feat. Eboni Franklin],英语,Pop,2013-08-27,peaceful,Heaven's Postcard (Rev. 21_1-5) [feat. Eboni Franklin]
497,497,8792,162,317,兰蔻持妆粉底液,,Absolutely Anything,英语,Dance,2019-12-10,happy,Nothing to Fear
498,498,3.3w,15,39,兰蔻持妆粉底液,,Oops,英语,Pop,2016-11-18,happy,Oops
499,499,2.4w,15,33,兰蔻持妆粉底液,,Stick Or Wistful,纯音乐,Pop,2019-05-16,peaceful,Stick Or Wistful
500,500,7.0w,454,900,兰蔻持妆粉底液,,动物园里的大象与河马幸福的生活在了一起,英语,,2017-02-22,mad,动物园里的大象与河马幸福的生活在了一起
501,501,7.8w,5908,3996,兰蔻持妆粉底液,,The Party Troll,纯音乐,Dance,2013-02-20,mad,The Party Troll
