,Unnamed: 0,Unnamed: 0.1,bgm,bpm,genre,language,public_time,mood,emotion,match,like_time,unlike_time,attitude
207,207,207,花姐 - 狂浪,117.45383522727272,Pop,国语,2018-12-06,,happy,1,0,0,
208,208,208,花澤香菜 - 恋愛サーキュレーション (恋爱循环),117.45383522727272,Soundtrack,日语,2018-11-02,,happy,1,0,0,
209,209,209,苏大大 - 小崽子,103.359375,Pop,国语,2018-03-29,,happy,1,0,0,
210,210,210,苏芮 _ 张惠妹 - 跟着感觉走,172.265625,Pop,国语,2003-07-31,,happy,1,0,0,
211,211,211,茂茂 - 遥远的你 (原唱),129.19921875,Pop,国语,2018-12-04,,happy,1,0,0,
212,212,212,草蜢 - 失恋阵线联盟,129.19921875,Pop,国语,1990-10-18,,happy,1,0,0,
213,213,213,菜刀、KT - 我每首情歌都唱给你听,161.4990234375,hiphop,,,,happy,1,0,0,
214,214,214,萌萌哒天团 - 帝都,99.38401442307692,Pop,国语,2015-01-22,,happy,1,0,0,
215,215,215,萧亚轩 - 爱的主打歌,129.19921875,Pop,国语,2002-08-30,,happy,1,0,0,
216,216,216,萧亚轩 - 爱的主打歌~1,129.19921875,hiphop,其他,2018-12-19,,happy,1,0,0,
217,217,217,蔡依林 - Love Love Love,117.45383522727272,Pop,国语,2004-02-27,,happy,1,0,0,
218,218,218,蔡依林 - 日不落,129.19921875,Pop,国语,2007-09-21,,happy,1,0,0,
219,219,219,蔡依林 - 爱情三十六计,123.046875,Pop,国语,2004-02-27,,happy,1,0,0,
220,220,220,蔡依林 - 特务J,143.5546875,Pop,国语,2007-09-21,,happy,1,0,0,
221,221,221,蔡依林 - 看我72变,129.19921875,Pop,国语,2003-03-07,,happy,1,0,0,
222,222,222,蔡依林 - 说爱你,103.359375,Pop,国语,2003-03-07,,happy,1,0,0,
223,223,223,蔡依林 - 说爱你~1,103.359375,Pop,国语,2005-09-23,,happy,1,0,0,
224,224,224,蔡健雅 - 红色高跟鞋,172.265625,Pop,国语,2009-08-19,,happy,1,0,0,
225,225,225,蔡徐坤 - 情人,86.1328125,Pop,国语,2020-05-24,,happy,1,0,0,
