,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
539,一芥殊笙 - 心跳的证明,86.1328125,rock,,,,peaceful,0,0,0
540,不够 - 可能,92.28515625,rock,国语,2019-09-18,,peaceful,0,0,0
541,不够 - 樱花草 (片段),135.99917763157896,Pop,国语,2006-06-01,,peaceful,0,0,0
542,不称职歌手 - 关键词 (片段),123.046875,country,,,,peaceful,0,0,0
543,中西亮輔 (なかにし りょうすけ) - 美月の思い出 (美月的回忆),143.5546875,Soundtrack,纯音乐,2014-03-26,,peaceful,0,0,0
544,久木田薫 (きた かおる) - 「千と千尋の神隠し」~いつも何度でも (永远同在),92.28515625,Soundtrack,纯音乐,2005-03-24,,peaceful,0,0,0
545,久木田薫 (きた かおる) - 「魔女の宅急便」~やさしさに包まれたなら,89.10290948275862,Soundtrack,纯音乐,2005-03-24,,peaceful,0,0,0
546,久石让 (ひさいし じょう) - いつも何度でも (永远同在),117.45383522727272,Soundtrack,纯音乐,2003-06-25,,peaceful,0,0,0
547,久石让 (ひさいし じょう) - いのちの名前 (生命之名),143.5546875,Soundtrack,纯音乐,2003-06-25,,peaceful,0,0,0
548,久石让 (ひさいし じょう) - さんぽ,92.28515625,Soundtrack,纯音乐,1988-05-05,,peaceful,0,0,0
549,久石让 (ひさいし じょう) - 旅立ち,161.4990234375,Soundtrack,纯音乐,1996-11-21,,peaceful,0,0,0
550,久石让 (ひさいし じょう) - 風になる,107.666015625,Soundtrack,纯音乐,2003-06-25,,peaceful,0,0,0
551,久石让 (ひさいし じょう) - 鳥の人 (鸟之人),172.265625,Soundtrack,纯音乐,1984-03-25,,peaceful,0,0,0
552,任然 - 关键词,135.99917763157896,rock,,,,peaceful,0,0,0
553,任然 - 凉城,129.19921875,Pop,国语,2016-11-25,,peaceful,0,0,0
554,任然 - 后继者,129.19921875,Pop,国语,2016-11-25,,peaceful,0,0,0
555,任然、小来哥 - 雀跃,123.046875,Soundtrack,国语,2017-07-13,,peaceful,0,0,0
556,低苦艾乐队 - Intro,135.99917763157896,Folk,纯音乐,2014-10-21,,peaceful,0,0,0
557,傅如乔 - 微微,112.34714673913044,Pop,国语,2020-03-20,,peaceful,0,0,0
558,光宗信吉 (みつむね しんきち) - オルゴールの记忆,86.1328125,Soundtrack,纯音乐,2006-02-22,,peaceful,0,0,0
559,八三夭 - 想见你想见你想见你,129.19921875,metal,国语,2019-11-11,positive,peaceful,0,0,0
560,北宸 - 无你,99.38401442307692,blues,国语,2019-06-14,positive,peaceful,0,0,0
561,匠音夫妇 - 一点点喜欢,92.28515625,Pop,国语,2011-05-27,positive,peaceful,0,0,0
562,华晨宇、郎朗 - 好想爱这个世界啊 (Live),143.5546875,Pop,国语,2020-05-08,positive,peaceful,0,0,0
563,南辞 - 那一刻我就对你一见倾心 (片段),172.265625,blues,,,,peaceful,0,0,0
564,叫宝宝 - 愿,75.99954044117645,blues,国语,2020-03-25,positive,peaceful,0,0,0
565,司南 - 冬眠,129.19921875,Pop,国语,2019-10-28,negative,peaceful,0,0,0
566,向银莹 - 左肩,123.046875,hiphop,国语,2019-05-08,positive,peaceful,0,0,0
567,哈利Halleeee - 星星失眠,129.19921875,Pop,国语,2020-04-23,positive,peaceful,0,0,0
568,喵子Luka - 未闻花名,172.265625,Pop,纯音乐,2016-07-20,positive,peaceful,0,0,0
569,奇然 - 青丝,95.703125,Pop,国语,2017-03-13,positive,peaceful,0,0,0
570,姚智鑫 - Insomnia,117.45383522727272,Pop,英语,2008-11-17,positive,peaceful,0,0,0
571,季彦霖 - 选择失忆,92.28515625,Pop,国语,2018-03-29,negative,peaceful,0,0,0
572,封茗囧菌、洛少爷 - 不得不爱,80.74951171875,Pop,国语,2018-12-20,positive,peaceful,0,0,0
573,小咪 - 我走后,117.45383522727272,blues,国语,2019-06-10,negative,peaceful,0,0,0
574,小星星Aurora - 坠落星空,112.34714673913044,Electronica,国语,2019-03-11,negative,peaceful,0,0,0
575,小星星Aurora - 红黑,99.38401442307692,Electronica,国语,2019-07-21,negative,peaceful,0,0,0
576,川田瑠夏 (かわだ るか) - 懐かしい安らぎ (怀念的安逸),83.35433467741936,Soundtrack,纯音乐,2015-12-25,negative,peaceful,0,0,0
577,希林娜依·高 - Someone You Loved (Live),107.666015625,Pop,英语,2020-05-02,negative,peaceful,0,0,0
578,希林娜依·高 - 喜欢你 (Live),112.34714673913044,Pop,国语,2020-05-02,negative,peaceful,0,0,0
579,彭十六 - 戏影,143.5546875,Pop,国语,2019-05-13,negative,peaceful,0,0,0
580,徐秉龙、桃十五 - 青柠,107.666015625,Pop,国语,2017-08-25,negative,peaceful,0,0,0
581,心理FM - 你梦中看到的就是你的人生 (节目),83.35433467741936,blues,国语,2015-01-01,,peaceful,0,0,0
582,志方晶子 (志方あきこ) - EXEC CHRONICLE KEY,95.703125,Soundtrack,纯音乐,2008-08-25,negative,peaceful,0,0,0
583,戚薇、俊昊 - 你是对的人,99.38401442307692,Pop,国语,2014-07-21,negative,peaceful,0,0,0
584,折戸伸治 (おりと しんじ) - 羽根 (羽翼),161.4990234375,Pop,纯音乐,2002-09-27,negative,peaceful,0,0,0
585,新乐尘符 - 每一句都很甜,99.38401442307692,Pop,国语,2018-05-03,negative,peaceful,0,0,0
586,日本群星 (オムニバス) - Bittersweet,184.5703125,Pop,纯音乐,2014-02-28,negative,peaceful,0,0,0
587,日本群星 (オムニバス) - My Memory (我的回忆),135.99917763157896,EasyListening,纯音乐,2004-06-25,negative,peaceful,0,0,0
588,日本群星 (オムニバス) - secret base ~君がくれたもの~ (八音盒版),112.34714673913044,jazz,,,,peaceful,0,0,0
589,日本群星 (オムニバス) - さくらんぼの実る頃,112.34714673913044,EasyListening,纯音乐,2008-09-11,negative,peaceful,0,0,0
590,日本群星 (オムニバス) - となりのトトロ (邻家的龙猫),95.703125,jazz,纯音乐,2009-06-01,negative,peaceful,0,0,0
591,日本群星 (オムニバス) - テルーの唄 (瑟鲁之歌),123.046875,jazz,纯音乐,2009-06-01,negative,peaceful,0,0,0
592,日本群星 (オムニバス) - ポッケ村のテーマ (口袋村主题音乐),99.38401442307692,Soundtrack,纯音乐,2007-03-14,negative,peaceful,0,0,0
593,日本群星 (オムニバス) - 可愛いアイルー,123.046875,Soundtrack,纯音乐,2007-03-14,negative,peaceful,0,0,0
594,日本群星 (オムニバス) - 君をのせて (伴随着你),95.703125,EasyListening,纯音乐,2008-09-11,negative,peaceful,0,0,0
595,日本群星 (オムニバス) - 夏の香り (夏日香气),112.34714673913044,EasyListening,纯音乐,2004-06-25,negative,peaceful,0,0,0
596,日本群星 (オムニバス) - 始まりの唄,80.74951171875,Soundtrack,纯音乐,2009-05-13,negative,peaceful,0,0,0
597,日本群星 (オムニバス) - 恵み深い人々の村 (久沐恩泽的科科特村),112.34714673913044,Soundtrack,纯音乐,2009-05-13,negative,peaceful,0,0,0
598,日本群星 (オムニバス) - 愛は花、君はその種子 (爱是花，你是那种子)(1),117.45383522727272,jazz,纯音乐,2009-06-01,negative,peaceful,0,0,0
599,日本群星 (オムニバス) - 愛は花、君はその種子 (爱是花，你是那种子),117.45383522727272,jazz,纯音乐,2009-06-01,negative,peaceful,0,0,0
600,日本群星 (オムニバス) - 星が瞬くこんな夜に ～オルゴールVer.～,184.5703125,Soundtrack,纯音乐,2012-05-09,negative,peaceful,0,0,0
601,日本群星 (オムニバス) - 最初から今まで (从开始到现在),95.703125,EasyListening,纯音乐,2004-06-25,negative,peaceful,0,0,0
602,日本群星 (オムニバス) - 海の見える街 (临海小镇),151.9990808823529,jazz,纯音乐,2009-06-01,negative,peaceful,0,0,0
603,日本群星 (オムニバス) - 花びらの刻 (花瓣飞舞之时) (オルゴールver.),161.4990234375,Soundtrack,纯音乐,2011-04-06,negative,peaceful,0,0,0
604,日本群星 (オムニバス) - 青空ボタン (青空纽扣) (オルゴールver.),99.38401442307692,Soundtrack,纯音乐,2011-02-23,negative,peaceful,0,0,0
605,杜宣达达达、王尔康 - 遥远的你 (治愈完整版),129.19921875,blues,,,,peaceful,0,0,0
606,杨胖雨 - 这就是爱吗,151.9990808823529,blues,国语,2020-01-15,negative,peaceful,0,0,0
607,棉子 - 勇气,69.83741554054055,Pop,国语,2019-12-22,negative,peaceful,0,0,0
608,榊原由依 (さかきばら ゆい) - 魔法の宝石箱 (Music Box version),89.10290948275862,Pop,纯音乐,2006-12-20,negative,peaceful,0,0,0
609,永彬Ryan.B - 像极了,103.359375,Pop,国语,2019-11-15,negative,peaceful,0,0,0
610,爱吃巧乐兹 - 我还想她 (Live片段),117.45383522727272,Pop,国语,2008-10-18,negative,peaceful,0,0,0
611,父后七日 - MUSIC BOX MAGIC (插曲),161.4990234375,blues,,,,peaceful,0,0,0
612,王梓钰 - 青春不打烊,123.046875,Pop,国语,2017-06-06,negative,peaceful,0,0,0
613,王梓钰、陈文辉 - 如果的事,129.19921875,blues,国语,2019-08-14,negative,peaceful,0,0,0
614,王泽科 - 不顾,123.046875,blues,国语,2019-10-24,negative,peaceful,0,0,0
615,王茗 - 大眠 (男声版),117.45383522727272,blues,国语,2020-01-19,negative,peaceful,0,0,0
616,田中理恵 (たなか りえ) - 鈴代黎音キャラクターBGM,99.38401442307692,jazz,纯音乐,2008-10-29,negative,peaceful,0,0,0
617,甲田雅人 (Masato Koda) - 英雄の証 (英雄之证),80.74951171875,Soundtrack,纯音乐,2009-05-13,negative,peaceful,0,0,0
618,皮卡丘多多 - 你是对的人,89.10290948275862,blues,,,,peaceful,0,0,0
619,皮卡丘多多 - 想想念念,103.359375,Pop,国语,2020-03-21,negative,peaceful,0,0,0
620,皮卡丘多多 - 我和你,123.046875,Pop,国语,2020-05-01,negative,peaceful,0,0,0
621,皮卡丘多多 - 我的果汁分你一半,99.38401442307692,Pop,国语,2020-04-13,negative,peaceful,0,0,0
622,相声瓦舍 - 幻音宝盒,123.046875,Soundtrack,纯音乐,2012-02-11,negative,peaceful,0,0,0
623,程jiajia - 我爱你,95.703125,rock,国语,2020-02-18,negative,peaceful,0,0,0
624,程响 - 世界这么大还是遇见你,143.5546875,Pop,国语,2020-01-02,negative,peaceful,0,0,0
625,等什么君 - 归寻,143.5546875,Pop,国语,2019-05-31,positive,peaceful,0,0,0
626,等什么君 - 慕夏,83.35433467741936,hiphop,国语,2019-08-03,negative,peaceful,0,0,0
627,纯音乐 - カノン (八音盒版),135.99917763157896,jazz,,,,peaceful,0,0,0
628,群星 - 无尽的爱,135.99917763157896,Pop,纯音乐,2006-07-07,negative,peaceful,0,0,0
629,翁梓铭、蓝心羽 - 舒伯特玫瑰,117.45383522727272,Pop,国语,2018-11-30,negative,peaceful,0,0,0
630,胡66 - 后来遇见他,129.19921875,Pop,国语,2020-03-20,negative,peaceful,0,0,0
631,脸红的思春期(BOL4) - You(=I),103.359375,rock,,,,peaceful,0,0,0
632,脸红的思春期(BOL4) - 썸 탈꺼야 (玩暧昧),103.359375,Alternative,韩语,2017-09-28,negative,peaceful,0,0,0
633,脸红的思春期(BOL4) - 우주를 줄게 (给你宇宙),83.35433467741936,Alternative,韩语,2016-08-29,negative,peaceful,0,0,0
634,苏天伦 - 天空是蔚蓝色,129.19921875,Pop,纯音乐,2020-04-26,negative,peaceful,0,0,0
635,苏白睡醒啦 - 樱花草,143.5546875,Pop,国语,2019-06-21,negative,peaceful,0,0,0
636,菊谷知樹 (きくや ともき) - 月の猫,86.1328125,Soundtrack,纯音乐,2013-06-26,negative,peaceful,0,0,0
637,蒋雪儿 - 莫问归期,143.5546875,rock,国语,2019-08-22,negative,peaceful,0,0,0
638,蓝心羽 - Melody (remix),151.9990808823529,Electronica,英语,2015-10-17,negative,peaceful,0,0,0
639,蓝心羽 - 别处的夕阳,143.5546875,blues,国语,2020-02-15,negative,peaceful,0,0,0
640,蓝心羽 - 夏天的风,112.34714673913044,Pop,国语,2020-04-28,negative,peaceful,0,0,0
641,蓝心羽 - 成全,151.9990808823529,country,国语,2019-07-18,negative,peaceful,0,0,0
642,蓝心羽 - 爱要坦荡荡+love scenario (片段),129.19921875,Pop,韩语,2018-01-25,negative,peaceful,0,0,0
643,蓝心羽 - 贩卖日落,135.99917763157896,rock,国语,2019-10-25,negative,peaceful,0,0,0
644,蓝心羽、黄诗扶 - 听起来很浪漫的事,117.45383522727272,rock,国语,2020-03-25,negative,peaceful,0,0,0
645,要不要买菜 - 琴师,161.4990234375,Pop,国语,2019-11-26,negative,peaceful,0,0,0
646,贵族乐团 - 时光一去不复返,107.666015625,EasyListening,纯音乐,2004-01-01,negative,peaceful,0,0,0
647,贵族乐团 - 龙猫,99.38401442307692,EasyListening,纯音乐,2004-01-01,negative,peaceful,0,0,0
648,郭子果 - 倾殇,172.265625,rock,国语,2019-10-18,negative,peaceful,0,0,0
649,郭曦文 - Galway Girl (片段),86.1328125,country,,,,peaceful,0,0,0
650,锦零 - 小桥夜雨,161.4990234375,hiphop,国语,2020-01-17,negative,peaceful,0,0,0
651,锦零、音阙诗听 - 空山新雨后,95.703125,Pop,国语,2019-03-18,negative,peaceful,0,0,0
652,阮言Ruany - 美卷入画 (完整版),69.83741554054055,Pop,国语,2019-10-22,negative,peaceful,0,0,0
653,陈卓璇 - 无羁 (Live),161.4990234375,Pop,国语,2020-05-02,negative,peaceful,0,0,0
654,高梨康治 (たかなし やすはる) - Blue Bell,71.77734375,Soundtrack,纯音乐,2011-06-01,negative,peaceful,0,0,0
655,高鱼 - 什么样的爱情,129.19921875,Pop,国语,2020-02-11,negative,peaceful,0,0,0
656,鬼琴天地响 - eternity,123.046875,classical,纯音乐,2010-08-23,negative,peaceful,0,0,0
657,4円 (ヨエン) - アイロニ (反语),89.10290948275862,Pop,日语,2013-04-27,negative,sad,0,0,0
658,69 - 哪吒之魔童降世,129.19921875,Dance,其他,2020-03-31,,sad,0,0,0
659,6诗人 - 卡布奇诺,95.703125,Pop,国语,2018-04-18,negative,sad,0,0,0
660,A-Lin - 有一种悲伤,161.4990234375,Soundtrack,国语,2018-12-11,negative,sad,0,0,0
661,AGA - Wonderful U (Demo),60.092659883720934,Pop,英语,2016-03-14,negative,sad,0,0,0
662,Alan Walker - Alone,95.703125,Dance,英语,2018-12-14,negative,sad,0,0,0
663,Alan Walker _ Iselin Solheim - Faded,89.10290948275862,Dance,英语,2015-12-04,negative,sad,0,0,0
664,Alan Walker _ Noah Cyrus _ Digital Farm Animals _ Juliander - All Falls Down,99.38401442307692,Dance,英语,2018-12-14,negative,sad,0,0,0
665,Approaching Nirvana - You (DJ版),129.19921875,Dance,英语,2020-05-22,,sad,0,0,0
666,Approaching Nirvana - You,129.19921875,Electronica,纯音乐,2012-03-24,negative,sad,0,0,0
667,Austin Mahone _ Rich Homie Quan - Send It,99.38401442307692,Pop,英语,2016-08-19,negative,sad,0,0,0
668,Ayo97 _ 周思涵 - 感谢你曾来过,161.4990234375,Pop,国语,2017-02-12,negative,sad,0,0,0
669,Baron - Comethru (Baron remix),117.45383522727272,country,,,,sad,0,0,0
670,Bazzi - Myself,99.38401442307692,Pop,英语,2018-04-12,negative,sad,0,0,0
671,Bebe Rexha - Ferrari,151.9990808823529,Pop,英语,2018-06-22,negative,sad,0,0,0
672,BIGBANG (빅뱅) - Make Love,107.666015625,rock,,,,sad,0,0,0
673,BIGBANG - GIRLFRIEND,86.1328125,Rap/HipHop,韩语,2016-12-13,negative,sad,0,0,0
674,BIGBANG - IF YOU,143.5546875,Pop,韩语,2015-07-01,negative,sad,0,0,0
675,BIGBANG - LOSER,89.10290948275862,Rap/HipHop,韩语,2015-05-01,negative,sad,0,0,0
676,Billie Eilish - idontwannabeyouanymore,172.265625,Alternative,英语,2017-07-21,negative,sad,0,0,0
677,Billie Eilish - wish you were gay,117.45383522727272,Alternative,英语,2019-03-29,negative,sad,0,0,0
678,BLACKPINK - STAY,89.10290948275862,Dance,韩语,2016-11-01,negative,sad,0,0,0
679,Boyce Avenue _ Bea Miller - We Can't Stop,80.74951171875,blues,,,,sad,0,0,0
680,Charlie Puth - Attention,99.38401442307692,Pop,英语,2018-05-11,negative,sad,0,0,0
681,Charlie Puth - We Don't Talk Anymore,99.38401442307692,Pop,英语,2016-01-29,negative,sad,0,0,0
682,Chris Medina - What Are Words,123.046875,Pop,英语,2011-11-28,negative,sad,0,0,0
683,Colbie Caillat - Try,92.28515625,Pop,英语,2014-09-30,negative,sad,0,0,0
684,DAISHI DANCE (ダイシ・ダンス) _ Cécile Corbel - Take Me Hand,129.19921875,Pop,英语,2012-11-14,negative,sad,0,0,0
685,DAOKO (ダヲコ) _ 米津玄師 (よねづ けんし) - 打上花火,95.703125,rock,,,,sad,0,0,0
686,DiESi - 穿越时空的思念 (Remix),143.5546875,Pop,纯音乐,2020-04-23,negative,sad,0,0,0
687,dirt party - 337am,117.45383522727272,Pop,纯音乐,2020-07-15,negative,sad,0,0,0
688,DJ OKAWARI - Luv Letter,95.703125,country,纯音乐,2010-10-20,negative,sad,0,0,0
689,DJ Snake _ Justin Bieber - Let Me Love You,135.99917763157896,Electronica,英语,2016-11-21,negative,sad,0,0,0
690,Ellie Goulding - Love Me Like You Do,95.703125,Pop,英语,2015-01-07,negative,sad,0,0,0
691,Else - Paris,103.359375,Electronica,纯音乐,2016-04-19,negative,sad,0,0,0
692,Embody _ Camden Cox - Dreamin',123.046875,Electronica,英语,2016-05-27,negative,sad,0,0,0
693,Eminem _ Rihanna - Love The Way You Lie,86.1328125,Rap/HipHop,英语,2010-01-01,negative,sad,0,0,0
694,en - 嚣张,135.99917763157896,blues,国语,2019-08-07,negative,sad,0,0,0
695,en - 嚣张~1,135.99917763157896,blues,其他,2018-03-30,,sad,0,0,0
696,en - 暗示分离,129.19921875,Pop,国语,2019-08-23,negative,sad,0,0,0
697,Feint - My Sunset (Original Mix),172.265625,Electronica,纯音乐,2020-02-26,negative,sad,0,0,0
698,G.E.M. 邓紫棋 - 光年之外,89.10290948275862,Soundtrack,国语,2016-12-30,negative,sad,0,0,0
699,G.E.M. 邓紫棋 - 泡沫,135.99917763157896,Pop,国语,2012-07-05,negative,sad,0,0,0
700,Gamper & Dadoni _ Ember Island - Creep,123.046875,Dance,英语,2017-06-21,negative,sad,0,0,0
701,Hans Zimmer - Cornfield Chase,95.703125,Soundtrack,纯音乐,2014-12-18,negative,sad,0,0,0
702,HITA - 赤伶,73.828125,Pop,国语,2018-09-27,negative,sad,0,0,0
703,HYE SUNG _ Lauv - Paris In The Rain (HYE SUNG Remix),89.10290948275862,hiphop,,,,sad,0,0,0
704,iKON - LOVE SCENARIO,117.45383522727272,Pop,韩语,2018-01-25,negative,sad,0,0,0
705,Jelani Aryeh - Daunt,80.74951171875,R&B,英语,2018-05-11,negative,sad,0,0,0
706,Jeremy Zucker - comethru,184.5703125,Pop,英语,2018-09-28,negative,sad,0,0,0
707,Joel Adams - Please Don't Go,83.35433467741936,Pop,英语,2015-11-02,negative,sad,0,0,0
708,Kaash Paige - LOVE SONGS,117.45383522727272,blues,英语,2018-10-09,negative,sad,0,0,0
709,Katie Sky - Monsters,89.10290948275862,SingerSongwriter,英语,2014-05-11,negative,sad,0,0,0
710,Kid Travis _ Rich Brian - History,151.9990808823529,Electronica,英语,2018-09-11,negative,sad,0,0,0
711,Kim Taylor - I Am You,117.45383522727272,Pop,英语,2009-03-01,negative,sad,0,0,0
712,LEE HI - NO ONE,92.28515625,Dance,韩语,2019-05-30,negative,sad,0,0,0
713,Lil Wayne - Sucker For Pain,83.35433467741936,Soundtrack,英语,2016-08-05,negative,sad,0,0,0
714,LINKIN PARK - In The End (Remix)(DJ暖豪版),112.34714673913044,hiphop,纯音乐,2016-11-22,negative,sad,0,0,0
715,LIU - That Girl (LIU Remix),89.10290948275862,Pop,英语,2019-05-07,negative,sad,0,0,0
716,M83 - Midnight City,103.359375,Electronica,英语,2011-10-17,negative,sad,0,0,0
717,MADILYN - Galway Girl,99.38401442307692,Folk,英语,2017-04-13,negative,sad,0,0,0
718,Maggie Lindemann - Pretty Girl,95.703125,Pop,英语,2016-09-30,negative,sad,0,0,0
719,MappleZS - May I see U again+I love you 3000 times,135.99917763157896,country,,,,sad,0,0,0
720,Martin Garrix _ David Guetta _ Jamie Scott _ Romy - So Far Away,151.9990808823529,Dance,英语,2017-12-01,negative,sad,0,0,0
721,Martin Garrix _ Troye Sivan - There For You,107.666015625,Pop,英语,2017-05-26,negative,sad,0,0,0
722,Matte _ Ember Island - Umbrella (Matte Remix),103.359375,country,,,,sad,0,0,0
723,MayPiano - Illusionary Daytime (钢琴版),95.703125,jazz,纯音乐,2019-06-19,negative,sad,0,0,0
724,MC七星 - 佛说,89.10290948275862,Pop,国语,2017-10-18,negative,sad,0,0,0
725,MC몽 - 죽을 만큼 아파서,123.046875,Pop,韩语,2010-06-24,negative,sad,0,0,0
726,Mister-Mardan - Jocelyn Flores,135.99917763157896,Rap/HipHop,英语,2018-08-23,negative,sad,0,0,0
727,Nana - Lonely,95.703125,Pop,英语,1997-07-21,negative,sad,0,0,0
728,NINEONE # - i don't wanna see u anymore 2019,99.38401442307692,country,,,,sad,0,0,0
729,Nohidea - Butterflies,89.10290948275862,Rap/HipHop,纯音乐,2017-05-21,negative,sad,0,0,0
730,Olly Murs - That Girl,89.10290948275862,Pop,英语,2016-11-11,negative,sad,0,0,0
731,Owl City - The Saltwater Room,112.34714673913044,Pop,英语,2009-01-01,negative,sad,0,0,0
732,Pape-r - 你走以后1.0,112.34714673913044,rock,,,,sad,0,0,0
733,Peter Roe - Last Reunion,69.83741554054055,Pop,纯音乐,2014-12-16,negative,sad,0,0,0
734,Post Malone - Circles,117.45383522727272,Rap/HipHop,英语,2019-08-30,negative,sad,0,0,0
735,RADWIMPS (ラッドウィンプス) - カイコ (蚕),135.99917763157896,Pop,日语,2014-03-11,negative,sad,0,0,0
736,RADWIMPS - なんでもないや,83.35433467741936,Soundtrack,日语,2016-08-24,negative,sad,0,0,0
737,RADWIMPS - スパークル,123.046875,Soundtrack,日语,2016-08-24,negative,sad,0,0,0
738,RAiNBOW计划 _ 雷雨心 - 记念,112.34714673913044,Pop,国语,2014-08-28,negative,sad,0,0,0
739,Rihanna - Diamonds,92.28515625,Pop,英语,2012-11-19,negative,sad,0,0,0
740,Russ - Psycho (Pt. 2) (Explicit),83.35433467741936,hiphop,,,,sad,0,0,0
741,S.H.E - 你曾是少年,78.30255681818181,Pop,国语,2015-05-20,negative,sad,0,0,0
742,Selena Gomez _ Marshmello - Wolves,123.046875,rock,,,,sad,0,0,0
743,SeVen.13 - Limitless（无限）,129.19921875,hiphop,纯音乐,2020-02-18,negative,sad,0,0,0
744,SILENT SIREN (サイレント・サイレン) - secret base ~君がくれたもの~ (secret base ~你给我的所有~),135.99917763157896,rock,,,,sad,0,0,0
745,Skylar Grey _ Diddy-Dirty Money - Coming Home,172.265625,Rap/HipHop,英语,2010-12-14,negative,sad,0,0,0
