,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
746,SNØW - Sunset_Sunrise (Prod.Kendo),151.9990808823529,Pop,英语,2018-07-09,negative,sad,0,0,0
747,Sub Urban - Cradles,161.4990234375,Alternative,英语,2019-01-04,negative,sad,0,0,0
748,t.A.T.u. - Loves Me Not,129.19921875,Alternative,英语,2006-01-01,negative,sad,0,0,0
749,The Chainsmokers _ Phoebe Ryan - All We Know,89.10290948275862,Dance,英语,2016-11-04,negative,sad,0,0,0
750,Timbaland _ OneRepublic - Apologize,117.45383522727272,Pop,英语,2007-01-01,negative,sad,0,0,0
751,Trevor Daniel _ Summer Walker - Falling (Summer Walker Remix),129.19921875,pop,,,,sad,0,0,0
752,Troye Sivan - Strawberries & Cigarettes,83.35433467741936,Pop,英语,2018-03-16,negative,sad,0,0,0
753,Troye Sivan _ Allday - For him.,161.4990234375,Pop,英语,2015-12-04,negative,sad,0,0,0
754,Tsuki _ Shiloh Dynasty - Who_(feat. Shiloh Dynasty),112.34714673913044,Electronica,纯音乐,2016-04-02,negative,sad,0,0,0
755,Twinbed - Trouble I'm In,129.19921875,Soundtrack,英语,2014-06-10,negative,sad,0,0,0
756,Twinbed - Trouble I'm In~1,129.19921875,country,国语,2016-09-29,negative,sad,0,0,0
757,Uu - 那女孩对我说,151.9990808823529,Pop,国语,2019-07-02,negative,sad,0,0,0
758,Uu - 那男孩还好吗,151.9990808823529,Pop,国语,2019-11-08,negative,sad,0,0,0
759,Various Artists - How You Make Me Feel,89.10290948275862,reggae,纯音乐,2014-01-01,negative,sad,0,0,0
760,Vicetone _ Cozi Zuehlsdorff - Way Back (feat. Cozi Zuehlsdorff),107.666015625,Electronica,英语,2018-03-09,negative,sad,0,0,0
761,White Cherry - MELANCHOLY,117.45383522727272,Electronica,纯音乐,2018-04-02,negative,sad,0,0,0
762,Wiz Khalifa - See You Again,161.4990234375,Pop,英语,2015-03-17,negative,sad,0,0,0
